country,group,year,units
bolivia,April,1993,51
brazil,April,1993,28167
burundi,April,1993,393
ecuador,April,1993,2069
indonesia,April,1993,6743
madagascar,April,1993,442
malawi,April,1993,62
papua new guinea,April,1993,1019
paraguay,April,1993,67
peru,April,1993,665
rwanda,April,1993,444
timor-leste,April,1993,0
zimbabwe,April,1993,12
congo,July,1993,3
cuba,July,1993,285
dominican republic,July,1993,604
haiti,July,1993,451
philippines,July,1993,875
tanzania,July,1993,734
zambia,July,1993,27
cameroon,October,1993,683
central african republic,October,1993,166
colombia,October,1993,11422
costa rica,October,1993,2359
cote d'ivoire,October,1993,2293
democratic republic of congo,October,1993,980
el salvador,October,1993,2378
equatorial guinea,October,1993,0
ethiopia,October,1993,2967
gabon,October,1993,3
ghana,October,1993,45
guatemala,October,1993,3536
guinea,October,1993,64
guyana,October,1993,0
honduras,October,1993,1829
india,October,1993,3533
jamaica,October,1993,34
kenya,October,1993,1328
lao people's democratic republic,October,1993,0
liberia,October,1993,5
mexico,October,1993,5023
nepal,October,1993,0
nicaragua,October,1993,706
nigeria,October,1993,45
panama,October,1993,142
sierra leone,October,1993,37
sri lanka,October,1993,54
thailand,October,1993,1275
togo,October,1993,195
trinidad & tobago,October,1993,16
uganda,October,1993,3142
venezuela,October,1993,1333
viet nam,October,1993,3020
yemen,October,1993,0
angola,April,1994,77
bolivia,April,1994,117
brazil,April,1994,28192
burundi,April,1994,664
ecuador,April,1994,2376
indonesia,April,1994,5368
madagascar,April,1994,641
malawi,April,1994,84
papua new guinea,April,1994,1139
paraguay,April,1994,25
peru,April,1994,1179
rwanda,April,1994,22
timor-leste,April,1994,0
zimbabwe,April,1994,106
congo,July,1994,8
cuba,July,1994,284
dominican republic,July,1994,730
haiti,July,1994,450
philippines,July,1994,877
tanzania,July,1994,679
zambia,July,1994,21
cameroon,October,1994,406
central african republic,October,1994,250
colombia,October,1994,12964
costa rica,October,1994,2482
cote d'ivoire,October,1994,3006
democratic republic of congo,October,1994,1298
el salvador,October,1994,2293
equatorial guinea,October,1994,3
ethiopia,October,1994,2763
gabon,October,1994,8
ghana,October,1994,57
guatemala,October,1994,3787
guinea,October,1994,198
guyana,October,1994,0
honduras,October,1994,2181
india,October,1994,3002
jamaica,October,1994,45
kenya,October,1994,1663
lao people's democratic republic,October,1994,0
liberia,October,1994,5
mexico,October,1994,4159
nepal,October,1994,0
nicaragua,October,1994,683
nigeria,October,1994,52
panama,October,1994,248
sierra leone,October,1994,73
sri lanka,October,1994,42
thailand,October,1994,1399
togo,October,1994,176
trinidad & tobago,October,1994,18
uganda,October,1994,2393
venezuela,October,1994,989
viet nam,October,1994,3632
yemen,October,1994,0
angola,April,1995,62
bolivia,April,1995,142
brazil,April,1995,18060
burundi,April,1995,434
ecuador,April,1995,1888
indonesia,April,1995,4573
madagascar,April,1995,785
malawi,April,1995,91
papua new guinea,April,1995,1002
paraguay,April,1995,26
peru,April,1995,1871
rwanda,April,1995,329
timor-leste,April,1995,0
zimbabwe,April,1995,131
congo,July,1995,12
cuba,July,1995,285
dominican republic,July,1995,886
haiti,July,1995,514
philippines,July,1995,850
tanzania,July,1995,897
zambia,July,1995,26
cameroon,October,1995,660
central african republic,October,1995,108
colombia,October,1995,12938
costa rica,October,1995,2844
cote d'ivoire,October,1995,2532
democratic republic of congo,October,1995,1098
el salvador,October,1995,2585
equatorial guinea,October,1995,2
ethiopia,October,1995,3165
gabon,October,1995,2
ghana,October,1995,57
guatemala,October,1995,4002
guinea,October,1995,104
guyana,October,1995,0
honduras,October,1995,1909
india,October,1995,4012
jamaica,October,1995,43
kenya,October,1995,1664
lao people's democratic republic,October,1995,0
liberia,October,1995,5
mexico,October,1995,5300
nepal,October,1995,0
nicaragua,October,1995,985
nigeria,October,1995,53
panama,October,1995,209
sierra leone,October,1995,44
sri lanka,October,1995,36
thailand,October,1995,1317
togo,October,1995,84
trinidad & tobago,October,1995,18
uganda,October,1995,3244
venezuela,October,1995,1467
viet nam,October,1995,3970
yemen,October,1995,0
angola,April,1996,71
bolivia,April,1996,125
brazil,April,1996,29197
burundi,April,1996,401
ecuador,April,1996,1993
indonesia,April,1996,8221
madagascar,April,1996,849
malawi,April,1996,49
papua new guinea,April,1996,1089
paraguay,April,1996,31
peru,April,1996,1806
rwanda,April,1996,293
timor-leste,April,1996,0
zimbabwe,April,1996,174
congo,July,1996,14
cuba,July,1996,366
dominican republic,July,1996,519
haiti,July,1996,428
philippines,July,1996,890
tanzania,July,1996,764
zambia,July,1996,33
cameroon,October,1996,1432
central african republic,October,1996,208
colombia,October,1996,10779
costa rica,October,1996,2222
cote d'ivoire,October,1996,4859
democratic republic of congo,October,1996,795
el salvador,October,1996,2534
equatorial guinea,October,1996,1
ethiopia,October,1996,3407
gabon,October,1996,1
ghana,October,1996,32
guatemala,October,1996,4525
guinea,October,1996,148
guyana,October,1996,0
honduras,October,1996,2004
india,October,1996,3417
jamaica,October,1996,54
kenya,October,1996,1247
lao people's democratic republic,October,1996,0
liberia,October,1996,5
mexico,October,1996,5110
nepal,October,1996,0
nicaragua,October,1996,793
nigeria,October,1996,46
panama,October,1996,211
sierra leone,October,1996,41
sri lanka,October,1996,37
thailand,October,1996,1404
togo,October,1996,291
trinidad & tobago,October,1996,18
uganda,October,1996,3419
venezuela,October,1996,1206
viet nam,October,1996,5752
yemen,October,1996,0
angola,April,1997,64
bolivia,April,1997,141
brazil,April,1997,26148
burundi,April,1997,250
ecuador,April,1997,1191
indonesia,April,1997,7621
madagascar,April,1997,624
malawi,April,1997,61
papua new guinea,April,1997,1074
paraguay,April,1997,49
peru,April,1997,1930
rwanda,April,1997,193
timor-leste,April,1997,0
zimbabwe,April,1997,130
congo,July,1997,3
cuba,July,1997,300
dominican republic,July,1997,941
haiti,July,1997,432
philippines,July,1997,935
tanzania,July,1997,624
zambia,July,1997,38
cameroon,October,1997,889
central african republic,October,1997,114
colombia,October,1997,12122
costa rica,October,1997,2617
cote d'ivoire,October,1997,4164
democratic republic of congo,October,1997,811
el salvador,October,1997,2175
equatorial guinea,October,1997,2
ethiopia,October,1997,3057
gabon,October,1997,3
ghana,October,1997,27
guatemala,October,1997,4219
guinea,October,1997,172
guyana,October,1997,0
honduras,October,1997,2564
india,October,1997,4109
jamaica,October,1997,47
kenya,October,1997,882
lao people's democratic republic,October,1997,0
liberia,October,1997,5
mexico,October,1997,4802
nepal,October,1997,0
nicaragua,October,1997,1084
nigeria,October,1997,45
panama,October,1997,217
sierra leone,October,1997,50
sri lanka,October,1997,58
thailand,October,1997,1293
togo,October,1997,221
trinidad & tobago,October,1997,19
uganda,October,1997,3440
venezuela,October,1997,951
viet nam,October,1997,6979
yemen,October,1997,0
angola,April,1998,85
bolivia,April,1998,138
brazil,April,1998,36761
burundi,April,1998,492
ecuador,April,1998,1206
indonesia,April,1998,7296
madagascar,April,1998,992
malawi,April,1998,64
papua new guinea,April,1998,1352
paraguay,April,1998,32
peru,April,1998,2102
rwanda,April,1998,223
timor-leste,April,1998,0
zimbabwe,April,1998,149
congo,July,1998,3
cuba,July,1998,280
dominican republic,July,1998,487
haiti,July,1998,439
philippines,July,1998,677
tanzania,July,1998,739
zambia,July,1998,62
cameroon,October,1998,1114
central african republic,October,1998,215
colombia,October,1998,10868
costa rica,October,1998,2445
cote d'ivoire,October,1998,1992
democratic republic of congo,October,1998,738
el salvador,October,1998,2055
equatorial guinea,October,1998,1
ethiopia,October,1998,2928
gabon,October,1998,4
ghana,October,1998,54
guatemala,October,1998,4893
guinea,October,1998,421
guyana,October,1998,6
honduras,October,1998,2195
india,October,1998,4417
jamaica,October,1998,29
kenya,October,1998,1173
lao people's democratic republic,October,1998,171
liberia,October,1998,18
mexico,October,1998,4801
nepal,October,1998,0
nicaragua,October,1998,1073
nigeria,October,1998,53
panama,October,1998,192
sierra leone,October,1998,27
sri lanka,October,1998,46
thailand,October,1998,916
togo,October,1998,321
trinidad & tobago,October,1998,17
uganda,October,1998,3386
venezuela,October,1998,1597
viet nam,October,1998,7052
yemen,October,1998,69
angola,April,1999,55
bolivia,April,1999,158
brazil,April,1999,47578
burundi,April,1999,351
ecuador,April,1999,1198
indonesia,April,1999,6557
madagascar,April,1999,427
malawi,April,1999,59
papua new guinea,April,1999,1387
paraguay,April,1999,19
peru,April,1999,2744
rwanda,April,1999,307
timor-leste,April,1999,0
zimbabwe,April,1999,125
congo,July,1999,3
cuba,July,1999,328
dominican republic,July,1999,607
haiti,July,1999,399
philippines,July,1999,622
tanzania,July,1999,842
zambia,July,1999,59
cameroon,October,1999,1370
central african republic,October,1999,241
colombia,October,1999,9512
costa rica,October,1999,2485
cote d'ivoire,October,1999,6320
democratic republic of congo,October,1999,477
el salvador,October,1999,2598
equatorial guinea,October,1999,0
ethiopia,October,1999,3784
gabon,October,1999,2
ghana,October,1999,89
guatemala,October,1999,5120
guinea,October,1999,364
guyana,October,1999,5
honduras,October,1999,2985
india,October,1999,4867
jamaica,October,1999,38
kenya,October,1999,1502
lao people's democratic republic,October,1999,239
liberia,October,1999,12
mexico,October,1999,6219
nepal,October,1999,0
nicaragua,October,1999,1554
nigeria,October,1999,45
panama,October,1999,166
sierra leone,October,1999,59
sri lanka,October,1999,32
thailand,October,1999,1273
togo,October,1999,263
trinidad & tobago,October,1999,17
uganda,October,1999,2862
venezuela,October,1999,1367
viet nam,October,1999,11631
yemen,October,1999,61
angola,April,2000,50
bolivia,April,2000,148
brazil,April,2000,31310
burundi,April,2000,487
ecuador,April,2000,854
indonesia,April,2000,6987
madagascar,April,2000,362
malawi,April,2000,63
papua new guinea,April,2000,1041
paraguay,April,2000,22
peru,April,2000,2676
rwanda,April,2000,273
timor-leste,April,2000,7
zimbabwe,April,2000,109
congo,July,2000,3
cuba,July,2000,312
dominican republic,July,2000,467
haiti,July,2000,420
philippines,July,2000,341
tanzania,July,2000,809
zambia,July,2000,93
cameroon,October,2000,1113
central african republic,October,2000,113
colombia,October,2000,10519
costa rica,October,2000,2419
cote d'ivoire,October,2000,4846
democratic republic of congo,October,2000,363
el salvador,October,2000,1704
equatorial guinea,October,2000,0
ethiopia,October,2000,3115
gabon,October,2000,0
ghana,October,2000,76
guatemala,October,2000,4940
guinea,October,2000,400
guyana,October,2000,3
honduras,October,2000,2667
india,October,2000,5020
jamaica,October,2000,37
kenya,October,2000,1002
lao people's democratic republic,October,2000,212
liberia,October,2000,12
mexico,October,2000,4815
nepal,October,2000,0
nicaragua,October,2000,1572
nigeria,October,2000,49
panama,October,2000,170
sierra leone,October,2000,49
sri lanka,October,2000,33
thailand,October,2000,1692
togo,October,2000,197
trinidad & tobago,October,2000,16
uganda,October,2000,3401
venezuela,October,2000,1450
viet nam,October,2000,14841
yemen,October,2000,64
angola,April,2001,21
bolivia,April,2001,94
brazil,April,2001,31365
burundi,April,2001,144
ecuador,April,2001,793
indonesia,April,2001,6833
madagascar,April,2001,147
malawi,April,2001,60
papua new guinea,April,2001,1063
paraguay,April,2001,22
peru,April,2001,2829
rwanda,April,2001,296
timor-leste,April,2001,33
zimbabwe,April,2001,121
congo,July,2001,3
cuba,July,2001,285
dominican republic,July,2001,387
haiti,July,2001,403
philippines,July,2001,263
tanzania,July,2001,624
zambia,July,2001,100
cameroon,October,2001,686
central african republic,October,2001,68
colombia,October,2001,11950
costa rica,October,2001,2247
cote d'ivoire,October,2001,3596
democratic republic of congo,October,2001,423
el salvador,October,2001,1694
equatorial guinea,October,2001,0
ethiopia,October,2001,4044
gabon,October,2001,1
ghana,October,2001,7
guatemala,October,2001,3669
guinea,October,2001,236
guyana,October,2001,5
honduras,October,2001,3036
india,October,2001,4810
jamaica,October,2001,31
kenya,October,2001,991
lao people's democratic republic,October,2001,258
liberia,October,2001,12
mexico,October,2001,4438
nepal,October,2001,0
nicaragua,October,2001,1079
nigeria,October,2001,44
panama,October,2001,160
sierra leone,October,2001,79
sri lanka,October,2001,32
thailand,October,2001,715
togo,October,2001,112
trinidad & tobago,October,2001,16
uganda,October,2001,3158
venezuela,October,2001,1265
viet nam,October,2001,13093
yemen,October,2001,62
angola,April,2002,57
bolivia,April,2002,127
brazil,April,2002,48352
burundi,April,2002,454
ecuador,April,2002,582
indonesia,April,2002,6731
madagascar,April,2002,445
malawi,April,2002,42
papua new guinea,April,2002,1085
paraguay,April,2002,36
peru,April,2002,3000
rwanda,April,2002,320
timor-leste,April,2002,37
zimbabwe,April,2002,110
congo,July,2002,3
cuba,July,2002,239
dominican republic,July,2002,455
haiti,July,2002,374
philippines,July,2002,255
tanzania,July,2002,824
zambia,July,2002,119
cameroon,October,2002,801
central african republic,October,2002,92
colombia,October,2002,11712
costa rica,October,2002,2043
cote d'ivoire,October,2002,3010
democratic republic of congo,October,2002,338
el salvador,October,2002,1361
equatorial guinea,October,2002,0
ethiopia,October,2002,4094
gabon,October,2002,1
ghana,October,2002,34
guatemala,October,2002,4070
guinea,October,2002,328
guyana,October,2002,5
honduras,October,2002,2496
india,October,2002,4588
jamaica,October,2002,37
kenya,October,2002,945
lao people's democratic republic,October,2002,402
liberia,October,2002,12
mexico,October,2002,4351
nepal,October,2002,0
nicaragua,October,2002,1170
nigeria,October,2002,50
panama,October,2002,140
sierra leone,October,2002,42
sri lanka,October,2002,34
thailand,October,2002,732
togo,October,2002,68
trinidad & tobago,October,2002,17
uganda,October,2002,2890
venezuela,October,2002,1484
viet nam,October,2002,11574
yemen,October,2002,57
angola,April,2003,38
bolivia,April,2003,103
brazil,April,2003,28873
burundi,April,2003,338
ecuador,April,2003,641
indonesia,April,2003,6404
madagascar,April,2003,435
malawi,April,2003,48
papua new guinea,April,2003,1155
paraguay,April,2003,47
peru,April,2003,2686
rwanda,April,2003,266
timor-leste,April,2003,42
zimbabwe,April,2003,92
congo,July,2003,3
cuba,July,2003,224
dominican republic,July,2003,351
haiti,July,2003,374
philippines,July,2003,293
tanzania,July,2003,612
zambia,July,2003,100
cameroon,October,2003,900
central african republic,October,2003,43
colombia,October,2003,11053
costa rica,October,2003,1886
cote d'ivoire,October,2003,2981
democratic republic of congo,October,2003,451
el salvador,October,2003,1380
equatorial guinea,October,2003,0
ethiopia,October,2003,4394
gabon,October,2003,0
ghana,October,2003,18
guatemala,October,2003,3610
guinea,October,2003,366
guyana,October,2003,5
honduras,October,2003,2968
india,October,2003,4708
jamaica,October,2003,37
kenya,October,2003,673
lao people's democratic republic,October,2003,361
liberia,October,2003,5
mexico,October,2003,4201
nepal,October,2003,1
nicaragua,October,2003,1509
nigeria,October,2003,46
panama,October,2003,172
sierra leone,October,2003,36
sri lanka,October,2003,37
thailand,October,2003,827
togo,October,2003,144
trinidad & tobago,October,2003,16
uganda,October,2003,2599
venezuela,October,2003,1421
viet nam,October,2003,15337
yemen,October,2003,193
angola,April,2004,15
bolivia,April,2004,155
brazil,April,2004,39281
burundi,April,2004,437
ecuador,April,2004,780
indonesia,April,2004,7536
madagascar,April,2004,522
malawi,April,2004,21
papua new guinea,April,2004,998
paraguay,April,2004,38
peru,April,2004,3425
rwanda,April,2004,450
timor-leste,April,2004,17
zimbabwe,April,2004,120
congo,July,2004,3
cuba,July,2004,180
dominican republic,July,2004,491
haiti,July,2004,365
philippines,July,2004,355
tanzania,July,2004,763
zambia,July,2004,110
cameroon,October,2004,727
central african republic,October,2004,29
colombia,October,2004,11429
costa rica,October,2004,1876
cote d'ivoire,October,2004,2136
democratic republic of congo,October,2004,360
el salvador,October,2004,1197
equatorial guinea,October,2004,0
ethiopia,October,2004,5213
gabon,October,2004,0
ghana,October,2004,18
guatemala,October,2004,3703
guinea,October,2004,316
guyana,October,2004,6
honduras,October,2004,2575
india,October,2004,4591
jamaica,October,2004,21
kenya,October,2004,736
lao people's democratic republic,October,2004,379
liberia,October,2004,6
mexico,October,2004,3867
nepal,October,2004,1
nicaragua,October,2004,1068
nigeria,October,2004,45
panama,October,2004,90
sierra leone,October,2004,15
sri lanka,October,2004,32
thailand,October,2004,884
togo,October,2004,166
trinidad & tobago,October,2004,15
uganda,October,2004,2613
venezuela,October,2004,1327
viet nam,October,2004,14370
yemen,October,2004,206
angola,April,2005,25
bolivia,April,2005,110
brazil,April,2005,32933
burundi,April,2005,103
ecuador,April,2005,935
indonesia,April,2005,9159
madagascar,April,2005,599
malawi,April,2005,24
papua new guinea,April,2005,1268
paraguay,April,2005,44
peru,April,2005,2489
rwanda,April,2005,337
timor-leste,April,2005,24
zimbabwe,April,2005,66
congo,July,2005,3
cuba,July,2005,100
dominican republic,July,2005,310
haiti,July,2005,356
philippines,July,2005,432
tanzania,July,2005,804
zambia,July,2005,103
cameroon,October,2005,870
central african republic,October,2005,23
colombia,October,2005,11952
costa rica,October,2005,1653
cote d'ivoire,October,2005,2099
democratic republic of congo,October,2005,336
el salvador,October,2005,1319
equatorial guinea,October,2005,0
ethiopia,October,2005,4779
gabon,October,2005,1
ghana,October,2005,12
guatemala,October,2005,3676
guinea,October,2005,525
guyana,October,2005,7
honduras,October,2005,3204
india,October,2005,4566
jamaica,October,2005,34
kenya,October,2005,660
lao people's democratic republic,October,2005,280
liberia,October,2005,5
mexico,October,2005,4225
nepal,October,2005,1
nicaragua,October,2005,1432
nigeria,October,2005,69
panama,October,2005,176
sierra leone,October,2005,60
sri lanka,October,2005,35
thailand,October,2005,1064
togo,October,2005,140
trinidad & tobago,October,2005,15
uganda,October,2005,2175
venezuela,October,2005,1506
viet nam,October,2005,13842
yemen,October,2005,203
angola,April,2006,35
bolivia,April,2006,146
brazil,April,2006,48432
burundi,April,2006,499
ecuador,April,2006,1035
indonesia,April,2006,7483
madagascar,April,2006,587
malawi,April,2006,17
papua new guinea,April,2006,807
paraguay,April,2006,35
peru,April,2006,4319
rwanda,April,2006,351
timor-leste,April,2006,46
zimbabwe,April,2006,45
congo,July,2006,3
cuba,July,2006,105
dominican republic,July,2006,387
haiti,July,2006,362
philippines,July,2006,441
tanzania,July,2006,822
zambia,July,2006,56
cameroon,October,2006,818
central african republic,October,2006,114
colombia,October,2006,12164
costa rica,October,2006,1706
cote d'ivoire,October,2006,2848
democratic republic of congo,October,2006,378
el salvador,October,2006,1234
equatorial guinea,October,2006,0
ethiopia,October,2006,5551
gabon,October,2006,1
ghana,October,2006,20
guatemala,October,2006,3950
guinea,October,2006,473
guyana,October,2006,8
honduras,October,2006,3461
india,October,2006,4500
jamaica,October,2006,40
kenya,October,2006,826
lao people's democratic republic,October,2006,391
liberia,October,2006,7
mexico,October,2006,4200
nepal,October,2006,2
nicaragua,October,2006,1428
nigeria,October,2006,51
panama,October,2006,173
sierra leone,October,2006,31
sri lanka,October,2006,33
thailand,October,2006,822
togo,October,2006,134
trinidad & tobago,October,2006,12
uganda,October,2006,2894
venezuela,October,2006,1571
viet nam,October,2006,19340
yemen,October,2006,207
angola,April,2007,36
bolivia,April,2007,116
brazil,April,2007,38911
burundi,April,2007,133
ecuador,April,2007,950
indonesia,April,2007,7777
madagascar,April,2007,614
malawi,April,2007,19
papua new guinea,April,2007,968
paraguay,April,2007,39
peru,April,2007,3063
rwanda,April,2007,224
timor-leste,April,2007,36
zimbabwe,April,2007,31
congo,July,2007,3
cuba,July,2007,110
dominican republic,July,2007,465
haiti,July,2007,359
philippines,July,2007,446
tanzania,July,2007,810
zambia,July,2007,61
cameroon,October,2007,795
central african republic,October,2007,43
colombia,October,2007,12515
costa rica,October,2007,1797
cote d'ivoire,October,2007,1338
democratic republic of congo,October,2007,416
el salvador,October,2007,1505
equatorial guinea,October,2007,0
ethiopia,October,2007,5967
gabon,October,2007,1
ghana,October,2007,35
guatemala,October,2007,4100
guinea,October,2007,323
guyana,October,2007,9
honduras,October,2007,3640
india,October,2007,4367
jamaica,October,2007,20
kenya,October,2007,652
lao people's democratic republic,October,2007,393
liberia,October,2007,7
mexico,October,2007,4150
nepal,October,2007,1
nicaragua,October,2007,1906
nigeria,October,2007,42
panama,October,2007,176
sierra leone,October,2007,40
sri lanka,October,2007,33
thailand,October,2007,650
togo,October,2007,125
trinidad & tobago,October,2007,12
uganda,October,2007,3490
venezuela,October,2007,1520
viet nam,October,2007,16405
yemen,October,2007,198
angola,April,2008,38
bolivia,April,2008,120
brazil,April,2008,51491
burundi,April,2008,412
ecuador,April,2008,771
indonesia,April,2008,9612
madagascar,April,2008,728
malawi,April,2008,21
papua new guinea,April,2008,1028
paraguay,April,2008,20
peru,April,2008,3872
rwanda,April,2008,369
timor-leste,April,2008,48
zimbabwe,April,2008,24
congo,July,2008,3
cuba,July,2008,133
dominican republic,July,2008,645
haiti,July,2008,359
philippines,July,2008,587
tanzania,July,2008,1186
zambia,July,2008,35
cameroon,October,2008,725
central african republic,October,2008,60
colombia,October,2008,8664
costa rica,October,2008,1500
cote d'ivoire,October,2008,2526
democratic republic of congo,October,2008,422
el salvador,October,2008,1450
equatorial guinea,October,2008,0
ethiopia,October,2008,4949
gabon,October,2008,2
ghana,October,2008,26
guatemala,October,2008,3785
guinea,October,2008,505
guyana,October,2008,10
honduras,October,2008,3450
india,October,2008,4072
jamaica,October,2008,32
kenya,October,2008,541
lao people's democratic republic,October,2008,406
liberia,October,2008,12
mexico,October,2008,4651
nepal,October,2008,1
nicaragua,October,2008,1445
nigeria,October,2008,50
panama,October,2008,149
sierra leone,October,2008,86
sri lanka,October,2008,31
thailand,October,2008,675
togo,October,2008,138
trinidad & tobago,October,2008,11
uganda,October,2008,3335
venezuela,October,2008,932
viet nam,October,2008,18438
yemen,October,2008,220
angola,April,2009,13
bolivia,April,2009,128
brazil,April,2009,43977
burundi,April,2009,112
ecuador,April,2009,813
indonesia,April,2009,11380
madagascar,April,2009,457
malawi,April,2009,17
papua new guinea,April,2009,1038
paraguay,April,2009,20
peru,April,2009,3286
rwanda,April,2009,259
timor-leste,April,2009,47
zimbabwe,April,2009,21
congo,July,2009,3
cuba,July,2009,92
dominican republic,July,2009,352
haiti,July,2009,351
philippines,July,2009,730
tanzania,July,2009,675
zambia,July,2009,28
cameroon,October,2009,902
central african republic,October,2009,112
colombia,October,2009,8098
costa rica,October,2009,1477
cote d'ivoire,October,2009,1989
democratic republic of congo,October,2009,346
el salvador,October,2009,1075
equatorial guinea,October,2009,0
ethiopia,October,2009,6830
gabon,October,2009,0
ghana,October,2009,19
guatemala,October,2009,3835
guinea,October,2009,499
guyana,October,2009,9
honduras,October,2009,3603
india,October,2009,4827
jamaica,October,2009,25
kenya,October,2009,630
lao people's democratic republic,October,2009,434
liberia,October,2009,13
mexico,October,2009,4109
nepal,October,2009,1
nicaragua,October,2009,1871
nigeria,October,2009,34
panama,October,2009,138
sierra leone,October,2009,91
sri lanka,October,2009,32
thailand,October,2009,795
togo,October,2009,202
trinidad & tobago,October,2009,11
uganda,October,2009,2894
venezuela,October,2009,1214
viet nam,October,2009,17825
yemen,October,2009,135
angola,April,2010,35
bolivia,April,2010,117
brazil,April,2010,55428
burundi,April,2010,353
ecuador,April,2010,854
indonesia,April,2010,9129
madagascar,April,2010,530
malawi,April,2010,17
papua new guinea,April,2010,867
paraguay,April,2010,20
peru,April,2010,4069
rwanda,April,2010,323
timor-leste,April,2010,60
zimbabwe,April,2010,10
congo,July,2010,3
cuba,July,2010,108
dominican republic,July,2010,378
haiti,July,2010,350
philippines,July,2010,189
tanzania,July,2010,846
zambia,July,2010,13
cameroon,October,2010,527
central african republic,October,2010,78
colombia,October,2010,8523
costa rica,October,2010,1614
cote d'ivoire,October,2010,837
democratic republic of congo,October,2010,305
el salvador,October,2010,1873
equatorial guinea,October,2010,0
ethiopia,October,2010,5560
gabon,October,2010,2
ghana,October,2010,69
guatemala,October,2010,3950
guinea,October,2010,386
guyana,October,2010,9
honduras,October,2010,4331
india,October,2010,5600
jamaica,October,2010,21
kenya,October,2010,641
